experiment_id,experiment_name,run_id,profile,source_artifact,variant,baseline,condition,world_count,route_length,cue_count,corruption_rate,budget_ratio,metric,mean,std,sem,ci_low,ci_high,effect_size,comparison,panel,caveat,manuscript_claim_id
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,1,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,1,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,2,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,2,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,4,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,4,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,8,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,8,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,12,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,2,12,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,4,1,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,4,1,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,4,2,,,,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
Exp12,capacity_generalization,exp12,full,experiments/experiment12_capacity_generalization/analysis/exp12/capacity_final_summary.csv,exp12_full_context_separated_memory,,clean supplied context,4,2,,,,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Ceiling-limited clean supplied-context scaling; no fitted capacity law is claimed.,C5
