experiment_id,experiment_title_inferred,experiment_dir,artifact_path,artifact_type,file_extension,file_size_bytes,modified_time,likely_role,manuscript_relevance,notes
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-images-idx3-ubyte,other artifact,,7840016,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-images-idx3-ubyte.gz,other artifact,.gz,1648877,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-labels-idx1-ubyte,other artifact,,10008,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/t10k-labels-idx1-ubyte.gz,other artifact,.gz,4542,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-images-idx3-ubyte,other artifact,,47040016,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-images-idx3-ubyte.gz,other artifact,.gz,9912422,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-labels-idx1-ubyte,other artifact,,60008,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/data/MNIST/raw/train-labels-idx1-ubyte.gz,other artifact,.gz,28881,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__init__.py,code,.py,0,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/config.py,code,.py,1542,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/data.py,code,.py,2146,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/logging_utils.py,code,.py,301,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/modulators.py,code,.py,1770,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/plastic_graph.py,code,.py,9876,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/storage.py,code,.py,6081,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/trainer.py,code,.py,5633,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/README.md,README,.md,1566,,README,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/requirements.txt,requirements/dependency manifest,.txt,57,,requirements/dependency manifest,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/run_mnist_experiment.py,code,.py,2874,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/runs/plastic_graph_mnist.sqlite3,SQLite database,.sqlite3,11345920,,SQLite database,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/start.ps1,launcher script,.ps1,505,,launcher script,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/start.sh,launcher script,.sh,250,,launcher script,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/analysis_report.md,generated report,.md,2419,,generated report,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/latest_checkpoint_summary.json,run manifest,.json,2245,,run manifest,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/metrics.csv,metrics CSV,.csv,10672,,metrics CSV,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/test_accuracy.png,plot,.png,48824,,plot,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/test_average_confidence.png,plot,.png,47370,,plot,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/train_average_confidence.png,plot,.png,55047,,plot,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analysis/train_window_accuracy.png,plot,.png,53268,,plot,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/analyze_results.py,code,.py,17659,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-images-idx3-ubyte,other artifact,,7840016,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-images-idx3-ubyte.gz,other artifact,.gz,1648877,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-labels-idx1-ubyte,other artifact,,10008,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-labels-idx1-ubyte.gz,other artifact,.gz,4542,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-images-idx3-ubyte,other artifact,,47040016,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-images-idx3-ubyte.gz,other artifact,.gz,9912422,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-labels-idx1-ubyte,other artifact,,60008,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-labels-idx1-ubyte.gz,other artifact,.gz,28881,,other artifact,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
exp2,Plastic Graph MNIST Persistence,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__init__.py,code,.py,0,,code,low,historical; indexed in P0/P1 cleanup pass excluding Exp13.2. Interpret claims through canonical evidence docs before citing.
