phase,run_name,context_corruption_type,context_corruption_level,budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.0,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.1,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.7999999999999999,0.0,5,0.09999999999999999,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.25,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.5,0.0,5,0.25,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.4,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.19999999999999996,0.0,5,0.39999999999999997,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.49,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.020000000000000018,0.0,5,0.4900000000000001,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.51,1.0,0.03177083333333333,0.004279082480509111,5,0.0326171875,0.0041965683253862825,5,0.0008463541666666671,0.002104587223339144,5,0.0,0.0,5,-0.020000000000000018,0.0,5,0.5099999999999999,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.6,1.0,0.03177083333333333,0.004279082480509111,5,0.0326171875,0.0041965683253862825,5,0.0008463541666666671,0.002104587223339144,5,0.0,0.0,5,-0.19999999999999996,0.0,5,0.5999999999999999,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.75,1.0,0.03177083333333333,0.004279082480509111,5,0.0326171875,0.0041965683253862825,5,0.0008463541666666671,0.002104587223339144,5,0.0,0.0,5,-0.5,0.0,5,0.75,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.9,1.0,0.03177083333333333,0.004279082480509111,5,0.0326171875,0.0041965683253862825,5,0.0008463541666666671,0.002104587223339144,5,0.0,0.0,5,-0.7999999999999999,0.0,5,0.9000000000000001,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
context_corruption,exp13_full_context_separated_memory,adversarial_mixture,0.99,1.0,0.03177083333333333,0.004279082480509111,5,0.0326171875,0.0041965683253862825,5,0.0008463541666666671,0.002104587223339144,5,0.0,0.0,5,-0.9800000000000002,0.0,5,0.99,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
