phase,run_name,world_count,route_length,local_budget_ratio,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_route_table_accuracy_mean,route_route_table_accuracy_std,route_route_table_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,composition_mean_world_margin_mean,composition_mean_world_margin_std,composition_mean_world_margin_count,composition_mean_wrong_world_activation_mean,composition_mean_wrong_world_activation_std,composition_mean_wrong_world_activation_count,composition_mean_correct_margin_mean,composition_mean_correct_margin_std,composition_mean_correct_margin_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,continuous_decode_accuracy_mean,continuous_decode_accuracy_std,continuous_decode_accuracy_count,decoded_start_accuracy_observed_mean,decoded_start_accuracy_observed_std,decoded_start_accuracy_observed_count
local_capacity_pressure,exp13_full_context_separated_memory,4,12,0.25,0.04583333333333334,0.017036903368537634,5,0.2786458333333333,0.00802658073303254,5,0.2328125,0.016116404632047717,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.29440165271484375,0.015188783946626911,5,0.2708333333333333,0.014057408629081272,5,96.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,4,12,0.5,0.07708333333333332,0.02426211395594191,5,0.5192708333333333,0.004357604304864949,5,0.4421875,0.026710169593662673,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.5323756557747394,0.011304588240076675,5,0.4891493055555555,0.010737254233379265,5,192.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,4,12,0.75,0.15625,0.03983608994994363,5,0.7598958333333334,0.004279082480509106,5,0.6036458333333333,0.038949489303633865,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8205411097265625,0.02627606269332416,5,0.7533854166666666,0.024888380499597546,5,288.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,4,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0911803812499998,0.0,5,1.0,0.0,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,8,12,0.25,0.0359375,0.007226269232037298,5,0.27734375,0.005447005381081221,5,0.24140625,0.0037512657007520785,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.2939655190719427,0.014856352147229674,5,0.24956597222222224,0.011742837897976283,5,192.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,8,12,0.5,0.05572916666666668,0.01953992862740007,5,0.5197916666666667,0.004259225842134403,5,0.4640625,0.016174160298807746,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.5640978787360661,0.01705108165124522,5,0.4805989583333333,0.013778758516578988,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,8,12,0.75,0.16302083333333334,0.011440563873171246,5,0.7606770833333334,0.0021395412402545632,5,0.59765625,0.013500287339406064,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.8869296098299249,0.01576419202555299,5,0.7548177083333334,0.013309162979065113,5,576.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,8,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.1733468351007899,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,16,12,0.25,0.04296875,0.004318521862441927,5,0.27278645833333337,0.002109616112762971,5,0.22981770833333334,0.0042442723992204955,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.3393962097003008,0.012004667290961635,5,0.24592013888888892,0.00790858579470181,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,16,12,0.5,0.05703125,0.006664835360452983,5,0.5157552083333333,0.001685179571034463,5,0.4587239583333333,0.007954972601096852,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.6626218330661098,0.01312783713021032,5,0.48381076388888883,0.0060167076233901854,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,16,12,0.75,0.13671875,0.03312004516139819,5,0.7580729166666667,0.0015679159607802319,5,0.6213541666666667,0.031939549462672016,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0196057193073937,0.015560247757852606,5,0.7435980902777778,0.010141772088149207,5,1152.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,16,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.3665599959724253,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,32,12,0.25,0.04166666666666667,0.0064614040498955725,5,0.2720703125,0.0023854259063230947,5,0.2304036458333333,0.005235727113403927,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.47486552678071925,0.0115837098951339,5,0.2482747395833333,0.00633853789968246,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,32,12,0.5,0.05963541666666668,0.007199826198411068,5,0.51484375,0.001988077016224262,5,0.4552083333333333,0.007163677449742544,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.9291432249012063,0.005190400152179675,5,0.48986545138888893,0.0045452301428105,5,1536.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,32,12,0.75,0.137890625,0.022667098097341753,5,0.7574869791666667,0.000949048159968317,5,0.6195963541666667,0.0220016928127478,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.4223888338959427,0.02110364477293445,5,0.74423828125,0.009203074558768039,5,2304.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_full_context_separated_memory,32,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.9090745142198777,0.0,5,1.0,0.0,5,3072.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,4,12,0.25,0.04583333333333334,0.017036903368537634,5,0.2786458333333333,0.00802658073303254,5,0.2328125,0.016116404632047717,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.2708333333333333,0.014057408629081272,5,0.2708333333333333,0.014057408629081272,5,96.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,4,12,0.5,0.07708333333333332,0.02426211395594191,5,0.5192708333333333,0.004357604304864949,5,0.4421875,0.026710169593662673,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.4891493055555555,0.010737254233379265,5,0.4891493055555555,0.010737254233379265,5,192.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,4,12,0.75,0.15625,0.03983608994994363,5,0.7598958333333334,0.004279082480509106,5,0.6036458333333333,0.038949489303633865,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.7533854166666666,0.024888380499597546,5,0.7533854166666666,0.024888380499597546,5,288.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,4,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,8,12,0.25,0.0359375,0.007226269232037298,5,0.27734375,0.005447005381081221,5,0.24140625,0.0037512657007520785,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.24956597222222224,0.011742837897976283,5,0.24956597222222224,0.011742837897976283,5,192.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,8,12,0.5,0.05572916666666668,0.01953992862740007,5,0.5197916666666667,0.004259225842134403,5,0.4640625,0.016174160298807746,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.4805989583333333,0.013778758516578988,5,0.4805989583333333,0.013778758516578988,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,8,12,0.75,0.16302083333333334,0.011440563873171246,5,0.7606770833333334,0.0021395412402545632,5,0.59765625,0.013500287339406064,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.7548177083333334,0.013309162979065113,5,0.7548177083333334,0.013309162979065113,5,576.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,8,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,16,12,0.25,0.04296875,0.004318521862441927,5,0.27278645833333337,0.002109616112762971,5,0.22981770833333334,0.0042442723992204955,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.24592013888888892,0.00790858579470181,5,0.24592013888888892,0.00790858579470181,5,384.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,16,12,0.5,0.05703125,0.006664835360452983,5,0.5157552083333333,0.001685179571034463,5,0.4587239583333333,0.007954972601096852,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.48381076388888883,0.0060167076233901854,5,0.48381076388888883,0.0060167076233901854,5,768.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,16,12,0.75,0.13671875,0.03312004516139819,5,0.7580729166666667,0.0015679159607802319,5,0.6213541666666667,0.031939549462672016,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,0.7435980902777778,0.010141772088149207,5,0.7435980902777778,0.010141772088149207,5,1152.0,0.0,5,,,0,,,0
local_capacity_pressure,exp13_no_consolidation,16,12,1.0,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9499999999999998,0.0,5,0.0,0.0,5,1.0,0.0,5,1.0,0.0,5,1536.0,0.0,5,,,0,,,0
